IndexId,MeterModelID,ParameterID,Name,MBRegID,DataTypeId,Multiplier,MeasureTypeId,selected
1,CVMC10,1,Voltaje L1,0,4,0.1,1,1
2,CVMC10,2,Voltaje L2,16,4,0.1,1,1
3,CVMC10,3,Voltaje L3,32,4,0.1,1,1
4,CVMC10,4,Voltaje L12,62,4,0.1,1,1
5,CVMC10,5,Voltaje L23,64,4,0.1,1,1
6,CVMC10,6,Voltaje L13,66,4,0.1,1,1
7,CVMC10,7,Corriente L1,2,4,0.001,1,1
8,CVMC10,8,Corriente L2,18,4,0.001,1,1
9,CVMC10,9,Corriente L3,34,4,0.001,1,1
10,CVMC10,10,Frecuencia L1,60,4,0.01,1,1
11,CVMC10,11,Frecuencia L2,0,4,1,1,0
12,CVMC10,12,Frecuencia L3,0,4,1,1,0
13,CVMC10,13,Factor de Potencia L1,12,4,0.01,1,1
14,CVMC10,14,Factor de Potencia L2,28,4,0.01,1,1
15,CVMC10,15,Factor de Potencia L3,44,4,0.01,1,1
16,CVMC10,16,Factor de potencia Total,56,4,0.01,1,1
17,CVMC10,17,Potencia Activa L1,4,4,1,1,1
18,CVMC10,18,Potencia Activa L2,20,4,1,1,1
19,CVMC10,19,Potencia Activa L3,36,4,1,1,1
20,CVMC10,20,Potencia Activa Total,48,4,1,1,1
21,CVMC10,21,Potencia Aparente L1,10,4,1,1,1
22,CVMC10,22,Potencia Aparente L2,26,4,1,1,1
23,CVMC10,23,Potencia Aparente L3,42,4,1,1,1
24,CVMC10,24,Potencia Aparente Total,54,4,1,1,1
25,CVMC10,25,Potencia Reactiva L1,6,4,1,1,1
26,CVMC10,26,Potencia Reactiva L2,22,4,1,1,1
27,CVMC10,27,Potencia Reactiva L3,38,4,1,1,1
28,CVMC10,28,Potencia Reactiva Total,50,4,1,1,1
29,CVMC10,29,Energía Activa L1,0,4,1,1,0
30,CVMC10,30,Energía Activa L2,0,4,1,1,0
31,CVMC10,31,Energía Activa L3,0,4,1,1,0
32,CVMC10,32,Energía Activa Total,220,4,1000,1,1
33,CVMC10,33,Energía Aparente L1,0,4,1,1,0
34,CVMC10,34,Energía Aparente L2,0,4,1,1,0
35,CVMC10,35,Energía Aparente L3,0,4,1,1,0
36,CVMC10,36,Energía Aparente Total,234,4,1,1,1
37,CVMC10,37,Energía Reactiva L1,0,4,1,1,0
38,CVMC10,38,Energía Reactiva L2,0,4,1,1,0
39,CVMC10,39,Energía Reactiva L3,0,4,1,1,0
40,CVMC10,40,Energía Reactiva Total,224,4,1000,1,1
41,CVMC10,41,Distorsión Armónica Volt L1 (%THD-V1),70,4,0.1,1,1
42,CVMC10,42,Distorsión Armónica Volt L2 (%THD-V2),72,4,0.1,1,1
43,CVMC10,43,Distorsión Armónica Volt L3 (%THD-V3),74,4,0.1,1,1
44,CVMC10,44,Distorsión Armónica Corr L1 (%THD-I1),76,4,0.1,1,1
45,CVMC10,45,Distorsión Armónica Corr L2 (%THD-I2),78,4,0.1,1,1
46,CVMC10,46,Distorsión Armónica Corr L3 (%THD-I3),80,4,0.1,1,1
47,CVMC10,47,1st Armónico VL1,2600,4,0.1,3,1
48,CVMC10,48,2nd Armónico VL1,2602,1,0.1,3,1
49,CVMC10,49,3rd Armónico VL1,2603,1,0.1,3,1
50,CVMC10,50,4th Armónico VL1,2604,1,0.1,3,1
51,CVMC10,51,5st Armónico VL1,2605,1,0.1,3,1
52,CVMC10,52,6st Armónico VL1,2606,1,0.1,3,1
53,CVMC10,53,7st Armónico VL1,2607,1,0.1,3,1
54,CVMC10,54,8st Armónico VL1,2608,1,0.1,3,1
55,CVMC10,55,9st Armónico VL1,2609,1,0.1,3,1
56,CVMC10,56,10st Armónico VL1,2610,1,0.1,3,1
57,CVMC10,57,11st Armónico VL1,2611,1,0.1,3,1
58,CVMC10,58,12st Armónico VL1,2612,1,0.1,3,1
59,CVMC10,59,13st Armónico VL1,2613,1,0.1,3,1
60,CVMC10,60,14st Armónico VL1,2614,1,0.1,3,1
61,CVMC10,61,15st Armónico VL1,2615,1,0.1,3,1
62,CVMC10,62,16st Armónico VL1,2616,1,0.1,3,1
63,CVMC10,63,17st Armónico VL1,2617,1,0.1,3,1
64,CVMC10,64,18st Armónico VL1,2618,1,0.1,3,1
65,CVMC10,65,19st Armónico VL1,2619,1,0.1,3,1
66,CVMC10,66,20st Armónico VL1,2620,1,0.1,3,1
67,CVMC10,67,21st Armónico VL1,2621,1,0.1,3,1
68,CVMC10,68,22st Armónico VL1,2622,1,0.1,3,1
69,CVMC10,69,23st Armónico VL1,2623,1,0.1,3,1
70,CVMC10,70,24st Armónico VL1,2624,1,0.1,3,1
71,CVMC10,71,25st Armónico VL1,2625,1,0.1,3,1
72,CVMC10,72,26st Armónico VL1,2626,1,0.1,3,1
73,CVMC10,73,27st Armónico VL1,2627,1,0.1,3,1
74,CVMC10,74,28st Armónico VL1,2628,1,0.1,3,1
75,CVMC10,75,29st Armónico VL1,2629,1,0.1,3,1
76,CVMC10,76,30st Armónico VL1,2630,1,0.1,3,1
77,CVMC10,77,1st Armónico VL2,2632,4,0.1,3,1
78,CVMC10,78,2st Armónico VL2,2634,1,0.1,3,1
79,CVMC10,79,3st Armónico VL2,2635,1,0.1,3,1
80,CVMC10,80,4st Armónico VL2,2636,1,0.1,3,1
81,CVMC10,81,5st Armónico VL2,2637,1,0.1,3,1
82,CVMC10,82,6st Armónico VL2,2638,1,0.1,3,1
83,CVMC10,83,7st Armónico VL2,2639,1,0.1,3,1
84,CVMC10,84,8st Armónico VL2,2640,1,0.1,3,1
85,CVMC10,85,9st Armónico VL2,2641,1,0.1,3,1
86,CVMC10,86,10st Armónico VL2,2642,1,0.1,3,1
87,CVMC10,87,11st Armónico VL2,2643,1,0.1,3,1
88,CVMC10,88,12st Armónico VL2,2644,1,0.1,3,1
89,CVMC10,89,13st Armónico VL2,2645,1,0.1,3,1
90,CVMC10,90,14st Armónico VL2,2646,1,0.1,3,1
