IndexId,MeterModelID,ParameterID,Name,MBRegID,DataTypeId,Multiplier,MeasureTypeId,selected
1,Elnet LT,1,Voltaje L1,1,2,1,1,1
2,Elnet LT,2,Voltaje L2,3,2,1,1,1
3,Elnet LT,3,Voltaje L3,5,2,1,1,1
4,Elnet LT,4,Voltaje L12,7,2,1,1,1
5,Elnet LT,5,Voltaje L23,9,2,1,1,1
6,Elnet LT,6,Voltaje L13,11,2,1,1,1
7,Elnet LT,7,Corriente L1,13,2,1,1,1
8,Elnet LT,8,Corriente L2,15,2,1,1,1
9,Elnet LT,9,Corriente L3,17,2,1,1,1
10,Elnet LT,10,Frecuencia L1,51,2,1,1,1
11,Elnet LT,11,Frecuencia L2,53,2,1,1,1
12,Elnet LT,12,Frecuencia L3,55,2,1,1,1
13,Elnet LT,13,Factor de Potencia L1,43,2,1,1,1
14,Elnet LT,14,Factor de Potencia L2,45,2,1,1,1
15,Elnet LT,15,Factor de Potencia L3,47,2,1,1,1
16,Elnet LT,16,Factor de potencia Total,49,2,1,1,1
17,Elnet LT,17,Potencia Activa L1,19,2,1,1,1
18,Elnet LT,18,Potencia Activa L2,21,2,1,1,1
19,Elnet LT,19,Potencia Activa L3,23,2,1,1,1
20,Elnet LT,20,Potencia Activa Total,25,2,1,1,1
21,Elnet LT,21,Potencia Aparente L1,27,2,1,1,0
22,Elnet LT,22,Potencia Aparente L2,29,2,1,1,0
23,Elnet LT,23,Potencia Aparente L3,31,2,1,1,0
24,Elnet LT,24,Potencia Aparente Total,33,2,1,1,1
25,Elnet LT,25,Potencia Reactiva L1,35,2,1,1,0
26,Elnet LT,26,Potencia Reactiva L2,37,2,1,1,0
27,Elnet LT,27,Potencia Reactiva L3,39,2,1,1,0
28,Elnet LT,28,Potencia Reactiva Total,41,2,1,1,1
29,Elnet LT,29,Energía Activa L1,119,2,1,1,0
30,Elnet LT,30,Energía Activa L2,121,2,1,1,0
31,Elnet LT,31,Energía Activa L3,123,2,1,1,0
32,Elnet LT,32,Energía Activa Total,79,2,1,1,1
33,Elnet LT,33,Energía Aparente L1,131,2,1,1,0
34,Elnet LT,34,Energía Aparente L2,133,2,1,1,0
35,Elnet LT,35,Energía Aparente L3,135,2,1,1,0
36,Elnet LT,36,Energía Aparente Total,83,2,1,1,1
37,Elnet LT,37,Energía Reactiva L1,125,2,1,1,0
38,Elnet LT,38,Energía Reactiva L2,127,2,1,1,0
39,Elnet LT,39,Energía Reactiva L3,129,2,1,1,0
40,Elnet LT,40,Energía Reactiva Total,81,2,1,1,1
41,Elnet LT,41,Distorsión Armónica Volt L1 (%THD-V1),105,2,1,1,1
42,Elnet LT,42,Distorsión Armónica Volt L2 (%THD-V2),107,2,1,1,1
43,Elnet LT,43,Distorsión Armónica Volt L3 (%THD-V3),109,2,1,1,1
44,Elnet LT,44,Distorsión Armónica Corr L1 (%THD-I1),111,2,1,1,1
45,Elnet LT,45,Distorsión Armónica Corr L2 (%THD-I2),113,2,1,1,1
46,Elnet LT,46,Distorsión Armónica Corr L3 (%THD-I3),115,2,1,1,1
47,Elnet LT,47,1st Armónico VL1,601,2,1,3,1
48,Elnet LT,48,2nd Armónico VL1,603,2,1,3,1
49,Elnet LT,49,3rd Armónico VL1,605,2,1,3,1
50,Elnet LT,50,4th Armónico VL1,607,2,1,3,1
51,Elnet LT,51,5st Armónico VL1,609,2,1,3,1
52,Elnet LT,52,6st Armónico VL1,611,2,1,3,1
53,Elnet LT,53,7st Armónico VL1,613,2,1,3,1
54,Elnet LT,54,8st Armónico VL1,615,2,1,3,1
55,Elnet LT,55,9st Armónico VL1,617,2,1,3,1
56,Elnet LT,56,10st Armónico VL1,619,2,1,3,1
57,Elnet LT,57,11st Armónico VL1,621,2,1,3,1
58,Elnet LT,58,12st Armónico VL1,623,2,1,3,1
59,Elnet LT,59,13st Armónico VL1,625,2,1,3,1
60,Elnet LT,60,14st Armónico VL1,627,2,1,3,1
61,Elnet LT,61,15st Armónico VL1,629,2,1,3,1
62,Elnet LT,62,16st Armónico VL1,631,2,1,3,0
63,Elnet LT,63,17st Armónico VL1,633,2,1,3,0
64,Elnet LT,64,18st Armónico VL1,635,2,1,3,0
65,Elnet LT,65,19st Armónico VL1,637,2,1,3,0
66,Elnet LT,66,20st Armónico VL1,639,2,1,3,0
67,Elnet LT,67,21st Armónico VL1,641,2,1,3,0
68,Elnet LT,68,22st Armónico VL1,643,2,1,3,0
69,Elnet LT,69,23st Armónico VL1,645,2,1,3,0
70,Elnet LT,70,24st Armónico VL1,647,2,1,3,0
71,Elnet LT,71,25st Armónico VL1,649,2,1,3,0
72,Elnet LT,72,26st Armónico VL1,651,2,1,3,0
73,Elnet LT,73,27st Armónico VL1,653,2,1,3,0
74,Elnet LT,74,28st Armónico VL1,655,2,1,3,0
75,Elnet LT,75,29st Armónico VL1,657,2,1,3,0
76,Elnet LT,76,30st Armónico VL1,659,2,1,3,0
77,Elnet LT,77,1st Armónico VL2,665,2,1,3,1
78,Elnet LT,78,2st Armónico VL2,667,2,1,3,1
79,Elnet LT,79,3st Armónico VL2,669,2,1,3,1
80,Elnet LT,80,4st Armónico VL2,671,2,1,3,1
81,Elnet LT,81,5st Armónico VL2,673,2,1,3,1
82,Elnet LT,82,6st Armónico VL2,675,2,1,3,1
83,Elnet LT,83,7st Armónico VL2,677,2,1,3,1
84,Elnet LT,84,8st Armónico VL2,679,2,1,3,1
85,Elnet LT,85,9st Armónico VL2,681,2,1,3,1
86,Elnet LT,86,10st Armónico VL2,683,2,1,3,1
87,Elnet LT,87,11st Armónico VL2,685,2,1,3,1
88,Elnet LT,88,12st Armónico VL2,687,2,1,3,1
89,Elnet LT,89,13st Armónico VL2,689,2,1,3,1
90,Elnet LT,90,14st Armónico VL2,691,2,1,3,1
91,Elnet LT,91,15st Armónico VL2,693,2,1,3,1
92,Elnet LT,92,16st Armónico VL2,695,2,1,3,0
93,Elnet LT,93,17st Armónico VL2,697,2,1,3,0
94,Elnet LT,94,18st Armónico VL2,699,2,1,3,0
95,Elnet LT,95,19st Armónico VL1,701,2,1,3,0
96,Elnet LT,96,20st Armónico VL2,703,2,1,3,0
97,Elnet LT,97,21st Armónico VL2,705,2,1,3,0
98,Elnet LT,98,22st Armónico VL2,707,2,1,3,0
99,Elnet LT,99,23st Armónico VL2,709,2,1,3,0
100,Elnet LT,100,24st Armónico VL2,711,2,1,3,0
101,Elnet LT,101,25st Armónico VL2,713,2,1,3,0
102,Elnet LT,102,26st Armónico VL2,715,2,1,3,0
103,Elnet LT,103,27st Armónico VL2,717,2,1,3,0
104,Elnet LT,104,28st Armónico VL2,719,2,1,3,0
105,Elnet LT,105,29st Armónico VL2,721,2,1,3,0
106,Elnet LT,106,30st Armónico VL2,723,2,1,3,0
107,Elnet LT,107,1st Armónico VL3,729,2,1,3,1
108,Elnet LT,108,2st Armónico VL3,731,2,1,3,1
109,Elnet LT,109,3st Armónico VL3,733,2,1,3,1
110,Elnet LT,110,4st Armónico VL3,735,2,1,3,1
111,Elnet LT,111,5st Armónico VL3,737,2,1,3,1
112,Elnet LT,112,6st Armónico VL3,739,2,1,3,1
113,Elnet LT,113,7st Armónico VL3,741,2,1,3,1
114,Elnet LT,114,8st Armónico VL3,743,2,1,3,1
115,Elnet LT,115,9st Armónico VL3,745,2,1,3,1
116,Elnet LT,116,10st Armónico VL3,747,2,1,3,1
117,Elnet LT,117,11st Armónico VL3,749,2,1,3,1
118,Elnet LT,118,12st Armónico VL3,751,2,1,3,1
119,Elnet LT,119,13st Armónico VL3,753,2,1,3,1
120,Elnet LT,120,14st Armónico VL3,755,2,1,3,1
121,Elnet LT,121,15st Armónico VL3,757,2,1,3,1
122,Elnet LT,122,16st Armónico VL3,759,2,1,3,0
123,Elnet LT,123,17st Armónico VL3,761,2,1,3,0
124,Elnet LT,124,18st Armónico VL3,763,2,1,3,0
